id,companyName,companyUrl,jobTitle,dateRange,location,description,logoUrl,label
548398365_0,TEHTRIS,https://www.linkedin.com/company/tehtris/,R&D Cybersecurity Consultant,oct. 2021 – Aujourd’hui,"Bordeaux, Nouvelle-Aquitaine, France",,https://media-exp1.licdn.com/dms/image/C4D0BAQH7H1eCEuZeeQ/company-logo_100_100/0/1591114058370?e=1645056000&v=beta&t=mu4-fcgC4VVwfvFVrq8CiCkJs49pGRcaqCnqHZ1gUV8,
548398365_1,CHEOPS TECHNOLOGY,https://www.linkedin.com/company/cheops-technology_2/,Ingénieur en data mining,sept. 2020 – sept. 2021,"Bordeaux, Nouvelle-Aquitaine, France",,https://media-exp1.licdn.com/dms/image/C560BAQGqpFCjgpq-rQ/company-logo_100_100/0/1519878074909?e=1645056000&v=beta&t=p5C_u0ZqA5zylpvwcO0xoTZB2lx9IMcKIk0afsoBqN4,2.0
551303934_0,ALTEN,https://www.linkedin.com/company/alten/,Stagiaire ingénieur en intelligence artificielle / génie logiciel,juil. 2021 – Aujourd’hui,"Rennes, Bretagne, France","Conception et programmation pour une plateforme d’automatisation en Python.

Recherche et développement pour l’IA de détection d’intention de la plateforme.

Management d’une équipe de consultants.",https://media-exp1.licdn.com/dms/image/C4D0BAQEqoRcq4y4NmA/company-logo_100_100/0/1559831655709?e=1645056000&v=beta&t=A9qXodMBhvM0vgLWBhjhU27PrqPHELcnEKGR-9SWB98,4.0
551303934_1,FRANCE SECURITE,https://www.linkedin.com/company/france-securite/,Stagiaire en développement logiciel,juin 2019 – août 2019,"Bordeaux, Aquitaine, France",Développement et mises à jour d’applications client sous WinDev.,https://media-exp1.licdn.com/dms/image/C4D0BAQFCrNDjmA-EPw/company-logo_100_100/0/1535630178361?e=1645056000&v=beta&t=bhyWBvlC2AQGuf5cF_mKd30Pyt4nyNPiSxscVQ79L4c,2.0
551303934_2,OASU (Observatoire Aquitain des Sciences de l'Univers),,Stagiaire en développement Web,avr. 2018 – juin 2018,"Bordeaux, Aquitaine, France",Création et évolution d’une application Web d’aide à la gestion des nouveaux entrants.,,1.0
551303934_3,ADDEO,https://www.linkedin.com/company/addeo/,Stagiaire en développement Web,avr. 2016 – juin 2016,"Bordeaux, Aquitaine, France","Portage d’une application en PHP 7, mises à jour et mesures de performances.",https://media-exp1.licdn.com/dms/image/C4E0BAQEDJWLQpuK2dw/company-logo_100_100/0/1617112925678?e=1645056000&v=beta&t=rwGjX099kL1PUfEyKvuRZKrIUuf95XjAN0DRlJXH4D8,0.0
84158243_0,Sanofi,https://www.linkedin.com/company/sanofi/,Développeur Data / IA,déc. 2019 – avr. 2021,"Région de Bordeaux, France","Développement d'applications web répondant à des problématiques métier, à partir de l'analyse et l'exploitation de données internes sensibles à l'aide du Machine Learning, et ce en lien étroit avec les destinataires finaux de ces applications.",https://media-exp1.licdn.com/dms/image/C4E0BAQEyDj0gZTGTAw/company-logo_100_100/0/1519856212359?e=1645056000&v=beta&t=9VsIUCrJ4o7PbXaVKzTHEHvL8t8jbp-5xQdXBvoS8cM,4.0
84158243_1,Onxeo,https://www.linkedin.com/company/onxeo-onco/,Research Assistant,févr. 2006 – avr. 2019,,"Formulation de Nanoparticules encapsulant un principe actif.
Fabrication et caractérisation de comprimés muco-adhésif.",https://media-exp1.licdn.com/dms/image/C4D0BAQFfGwx2O7Q_yw/company-logo_100_100/0/1519916463455?e=1645056000&v=beta&t=dsww2Tdje-jSPqhx2EvtD2suusFE7dG2OJlkZ-03U8I,
84158243_2,Ethypharm,https://www.linkedin.com/company/ethypharm/,Technicien galéniste,juin 2001 – juin 2004,,"Formulation de Sphérulites® (vésicules multilamellaires
encapsulant un principe actif)",https://media-exp1.licdn.com/dms/image/C4E0BAQHXgCJqzhGjSA/company-logo_100_100/0/1519856676017?e=1645056000&v=beta&t=g1uA9xmaCs-8n06X9Lmfd8rCdmaiwIB6a8QIgaGyNLg,0.0
46454826_0,Centre Aquitain des Technologies de l'Information et Électroniques (CATIE),https://www.linkedin.com/company/catie-aq/,"Responsable département Big data, Intelligence artificielle, Blockchain",avr. 2015 – Aujourd’hui,Talence,"Le CATIE, créé par la région Nouvelle-Aquitaine, accompagne les entreprises dans l'adoption et l'intégration des technologies du numérique.

Je suis responsable de l'équipe informatique/mathématiques qui applique ces sciences aux technologies de rupture (IA, Blockchain, IoT, etc.)
D'autres équipes au CATIE travaillent sur l’électronique et les facteurs humains.

J'enseigne également dans plusieurs écoles (ENSEIRB, IAE, Ynov) et interviens lors de conférences ou pour de la sensibilisation dans les entreprises.",https://media-exp1.licdn.com/dms/image/C4E0BAQFueu6tVOazVQ/company-logo_100_100/0/1519873773647?e=1645056000&v=beta&t=7UST2--2NEo8-2L6bTO2E5vOSOZHh8yqzUPp9qDIfN0,3.0
